date,year,month,day,day_of_week,is_month_start,is_month_end,cloud_provider,account_id,project_id,environment,business_unit,department,cost_center,region,service,resource_type,usage_quantity,usage_unit,list_cost,savings_plan_coverage_pct,reserved_instance_coverage_pct,discount_rate_pct,discount_amount,net_cost,on_demand_cost,reserved_savings,savings_plan_savings,spot_savings,amortized_cost,forecast_monthly_cost,budget_amount,budget_utilization_pct,budget_status,cost_variance_7d_pct,cost_variance_30d_pct,anomaly_score,is_anomaly,currency,tags
2026-08-01,2026,8,1,Saturday,True,False,AWS,123456789012,prj-data-warehouse-prod,production,Data & Analytics,Data Platform,CC-101,us-east-1,AmazonEC2,Compute,720,Hrs,1440.00,85.00,0.00,15.00,216.00,1224.00,1440.00,0.00,180.00,0.00,1224.00,37944.00,40000.00,94.86,ON_TRACK,2.30,4.10,0.05,False,USD,"{""env"":""prod"",""owner"":""data-eng""}"
2026-08-01,2026,8,1,Saturday,True,False,AWS,123456789012,prj-analytics-dev,development,Engineering,Software,CC-102,us-west-2,AmazonS3,Storage,15400,GB-Month,354.20,0.00,0.00,5.00,17.71,336.49,354.20,0.00,0.00,0.00,336.49,10431.19,12000.00,86.93,ON_TRACK,-1.20,0.80,0.02,False,USD,"{""env"":""dev"",""owner"":""analytics""}"
2026-08-01,2026,8,1,Saturday,True,False,Azure,987654321098,prj-core-banking-prod,production,Finance,FinTech,CC-201,eastus,VirtualMachines,Compute,1440,Hrs,2880.00,0.00,70.00,20.00,576.00,2304.00,2880.00,420.00,0.00,0.00,2304.00,71424.00,65000.00,109.88,EXCEEDED,12.50,18.30,0.82,True,USD,"{""env"":""prod"",""owner"":""fin-ops""}"
2026-08-01,2026,8,1,Saturday,True,False,GCP,gcp-cloud-prod-402,prj-ml-recommendation,production,Data & Analytics,AI Research,CC-301,us-central1,BigQuery,Analytics,48.5,TB-Processed,242.50,0.00,0.00,10.00,24.25,218.25,242.50,0.00,0.00,0.00,218.25,6765.75,8000.00,84.57,ON_TRACK,0.50,-2.10,0.11,False,USD,"{""env"":""prod"",""owner"":""ai-team""}"
2026-08-02,2026,8,2,Sunday,False,False,AWS,123456789012,prj-data-warehouse-prod,production,Data & Analytics,Data Platform,CC-101,us-east-1,AmazonRDS,Database,24,Hrs,320.00,60.00,0.00,12.00,38.40,281.60,320.00,0.00,32.00,0.00,281.60,8729.60,9500.00,91.89,ON_TRACK,1.10,2.30,0.04,False,USD,"{""env"":""prod"",""db"":""postgres""}"
2026-08-02,2026,8,2,Sunday,False,False,Azure,987654321098,prj-web-portal-stage,staging,Marketing,Web Ops,CC-202,westeurope,AzureSQL,Database,24,Hrs,180.00,0.00,50.00,10.00,18.00,162.00,180.00,25.00,0.00,0.00,162.00,5022.00,5500.00,91.31,ON_TRACK,-0.40,1.20,0.08,False,USD,"{""env"":""stage"",""app"":""portal""}"
2026-08-02,2026,8,2,Sunday,False,False,GCP,gcp-cloud-prod-402,prj-k8s-cluster-prod,production,Engineering,DevOps,CC-302,us-east4,GoogleKubernetesEngine,Containers,240,vCPU-Hrs,480.00,90.00,0.00,18.00,86.40,393.60,480.00,0.00,65.00,0.00,393.60,12201.60,13000.00,93.86,ON_TRACK,3.20,5.10,0.15,False,USD,"{""env"":""prod"",""cluster"":""gke-main""}"
2026-08-03,2026,8,3,Monday,False,False,AWS,123456789012,prj-data-warehouse-prod,production,Data & Analytics,Data Platform,CC-101,us-east-1,AmazonEC2,Compute,720,Hrs,1440.00,85.00,0.00,15.00,216.00,1224.00,1440.00,0.00,180.00,0.00,1224.00,37944.00,40000.00,94.86,ON_TRACK,0.80,3.90,0.03,False,USD,"{""env"":""prod"",""owner"":""data-eng""}"
2026-08-03,2026,8,3,Monday,False,False,AWS,123456789012,prj-data-warehouse-prod,production,Data & Analytics,Data Platform,CC-101,us-east-1,AWSLambda,Serverless,12500000,Requests,250.00,0.00,0.00,5.00,12.50,237.50,250.00,0.00,0.00,0.00,237.50,7362.50,7500.00,98.17,NEAR_LIMIT,15.40,22.10,0.76,True,USD,"{""env"":""prod"",""type"":""etl-jobs""}"
2026-08-03,2026,8,3,Monday,False,False,GCP,gcp-cloud-prod-402,prj-ml-recommendation,production,Data & Analytics,AI Research,CC-301,us-central1,CloudStorage,Storage,82000,GB-Month,1640.00,0.00,0.00,15.00,246.00,1394.00,1640.00,0.00,0.00,0.00,1394.00,43214.00,45000.00,96.03,NEAR_LIMIT,2.10,4.50,0.09,False,USD,"{""env"":""prod"",""data"":""training-set""}"
